2016-02-18 15:02:07,988 | WARN  | Transport Connection to: tcp://127.0.0.1:50308 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50308@61616
2016-02-18 15:11:02,440 | WARN  | Transport Connection to: tcp://0:0:0:0:0:0:0:1:50501 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///0:0:0:0:0:0:0:1:50501@61616
2016-02-18 15:11:15,898 | WARN  | Transport Connection to: tcp://127.0.0.1:50509 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50509@61616
2016-02-18 15:11:15,898 | WARN  | Transport Connection to: tcp://127.0.0.1:50512 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50512@61616
2016-02-18 15:33:12,528 | WARN  | Transport Connection to: tcp://127.0.0.1:50623 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50623@61616
2016-02-18 15:33:12,528 | WARN  | Transport Connection to: tcp://127.0.0.1:50626 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50626@61616
2016-02-18 15:33:13,319 | WARN  | Transport Connection to: tcp://0:0:0:0:0:0:0:1:50607 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///0:0:0:0:0:0:0:1:50607@61616
2016-02-18 15:37:48,064 | WARN  | Transport Connection to: tcp://0:0:0:0:0:0:0:1:50765 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///0:0:0:0:0:0:0:1:50765@61616
2016-02-18 15:38:08,311 | WARN  | Transport Connection to: tcp://127.0.0.1:50779 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50779@61616
2016-02-18 15:38:08,311 | WARN  | Transport Connection to: tcp://127.0.0.1:50781 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50781@61616
2016-02-18 15:45:52,535 | WARN  | Transport Connection to: tcp://0:0:0:0:0:0:0:1:50911 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///0:0:0:0:0:0:0:1:50911@61616
2016-02-18 15:50:14,452 | WARN  | Transport Connection to: tcp://127.0.0.1:50918 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50918@61616
2016-02-18 15:50:14,453 | WARN  | Transport Connection to: tcp://127.0.0.1:50921 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50921@61616
2016-02-18 15:51:13,499 | WARN  | Transport Connection to: tcp://0:0:0:0:0:0:0:1:55117 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///0:0:0:0:0:0:0:1:55117@61616
2016-02-18 15:53:00,718 | WARN  | Transport Connection to: tcp://0:0:0:0:0:0:0:1:55137 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///0:0:0:0:0:0:0:1:55137@61616
2016-02-18 15:54:31,266 | WARN  | Transport Connection to: tcp://0:0:0:0:0:0:0:1:55228 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///0:0:0:0:0:0:0:1:55228@61616
2016-02-18 15:55:10,494 | WARN  | Transport Connection to: tcp://127.0.0.1:55111 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55111@61616
2016-02-18 15:55:10,494 | WARN  | Transport Connection to: tcp://127.0.0.1:55114 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55114@61616
2016-02-18 15:58:17,603 | WARN  | Transport Connection to: tcp://0:0:0:0:0:0:0:1:55239 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///0:0:0:0:0:0:0:1:55239@61616
2016-02-18 15:58:48,294 | WARN  | Transport Connection to: tcp://0:0:0:0:0:0:0:1:55370 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///0:0:0:0:0:0:0:1:55370@61616
2016-02-18 15:59:17,425 | WARN  | Transport Connection to: tcp://0:0:0:0:0:0:0:1:55384 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///0:0:0:0:0:0:0:1:55384@61616
2016-02-18 16:00:21,948 | WARN  | Transport Connection to: tcp://0:0:0:0:0:0:0:1:55421 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///0:0:0:0:0:0:0:1:55421@61616
2016-02-18 16:01:17,690 | WARN  | Transport Connection to: tcp://0:0:0:0:0:0:0:1:55456 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///0:0:0:0:0:0:0:1:55456@61616
2016-02-18 16:04:14,769 | WARN  | Transport Connection to: tcp://127.0.0.1:55266 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55266@61616
2016-02-18 16:05:04,212 | WARN  | Transport Connection to: tcp://0:0:0:0:0:0:0:1:55546 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///0:0:0:0:0:0:0:1:55546@61616
2016-02-18 16:05:24,740 | WARN  | Transport Connection to: tcp://127.0.0.1:55262 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>30000) long: tcp://127.0.0.1:55262 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2016-02-18 16:12:07,670 | WARN  | Transport Connection to: tcp://0:0:0:0:0:0:0:1:55605 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///0:0:0:0:0:0:0:1:55605@61616
2016-02-18 16:13:09,489 | WARN  | Transport Connection to: tcp://0:0:0:0:0:0:0:1:55837 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///0:0:0:0:0:0:0:1:55837@61616
